,win,kills,deaths,assists,largestKillingSpree,largestMultiKill,doubleKills,tripleKills,quadraKills,pentaKills,visionScore,timeCCingOthers,turretKills,inhibitorKills,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,champion,spell1,spell2,gameDuration,tier,division,kda,totalDamageDealt_per_min,magicDamageDealt_per_min,physicalDamageDealt_per_min,trueDamageDealt_per_min,totalDamageDealtToChampions_per_min,magicDamageDealtToChampions_per_min,physicalDamageDealtToChampions_per_min,totalHeal_per_min,totalUnitsHealed_per_min,damageSelfMitigated_per_min,damageDealtToObjectives_per_min,damageDealtToTurrets_per_min,totalDamageTaken_per_min,magicalDamageTaken_per_min,physicalDamageTaken_per_min,goldEarned_per_min,goldSpent_per_min,totalMinionsKilled_per_min,neutralMinionsKilled_per_min,neutralMinionsKilledTeamJungle_per_min,neutralMinionsKilledEnemyJungle_per_min,lane
I Am Not Sup Orz,False,5,10,7,2,2,1,0,0,0,18,14,0,0,497,14,1,8,3,False,False,False,True,False,False,8200,8000.0,5005,5008,5002,104,11,4,1625,DIAMOND,I,1.2,5660.6,413.98,4873.51,373.07,447.69,62.66,359.45,239.11,0.04,672.11,505.88,14.92,898.89,295.24,578.7,390.42,383.08,1.66,4.69,3.43,0.48,JUNGLE
Angelayezi,False,5,6,4,3,2,1,0,0,0,13,21,0,0,42,14,0,4,4,False,False,False,False,False,False,8100,8300.0,5008,5008,5002,85,4,14,1625,DIAMOND,I,1.5,3028.1,2289.05,603.43,135.54,541.51,460.95,50.84,84.63,0.04,377.94,161.1,1.96,703.53,295.86,373.44,357.71,337.85,5.87,0.04,0.04,0.0,MIDDLE
Bunny Boy Time,False,8,8,4,3,2,1,0,0,0,16,15,1,0,139,14,1,7,3,False,False,True,False,False,False,8400,8300.0,5008,5008,5002,164,4,12,1625,DIAMOND,I,1.5,3374.55,37.62,2793.45,543.43,605.39,37.62,434.22,117.05,0.04,983.63,321.6,96.7,1100.97,450.54,629.8,367.61,363.06,4.98,0.3,0.15,0.0,TOP
DomeThunder,False,5,5,5,2,2,1,0,0,0,15,13,0,0,43,12,2,9,3,False,False,False,False,False,False,8100,8300.0,5008,5008,5002,202,7,4,1625,DIAMOND,I,2.0,3370.41,90.13,3269.83,10.45,366.35,37.81,326.95,165.45,0.15,261.6,86.92,4.76,588.7,194.99,382.12,358.71,286.15,5.39,0.3,0.18,0.0,BOTTOM
man like Harrsh,False,2,5,12,0,1,0,0,0,0,76,30,0,0,124,12,11,34,11,False,False,False,False,False,False,8100,8200.0,5007,5008,5003,432,14,4,1625,DIAMOND,I,2.8,763.35,488.6,181.99,92.68,508.06,368.79,83.37,126.76,0.18,312.7,73.26,0.0,620.68,327.18,281.69,266.29,261.23,0.59,0.0,0.0,0.0,MIDDLE
Phasuo,True,5,2,7,3,1,0,0,0,0,22,20,3,0,150,16,3,11,4,True,False,False,False,False,False,8000,8100.0,5005,5008,5001,157,4,14,1625,DIAMOND,I,6.0,6312.89,512.27,5523.29,277.33,491.82,34.26,420.92,250.63,0.04,980.57,564.33,229.03,716.75,251.93,419.59,459.21,394.15,7.68,0.78,0.59,0.15,MIDDLE
Cheekzr,True,8,6,14,3,1,0,0,0,0,57,38,3,0,665,15,11,10,5,False,False,False,False,False,True,8100,8300.0,5008,5008,5002,9,11,4,1625,DIAMOND,I,3.67,5397.97,4743.03,222.24,432.66,859.46,812.57,4.28,509.76,0.04,499.57,1021.22,67.42,972.11,283.94,621.71,441.08,386.77,0.74,4.47,3.36,0.0,JUNGLE
spaggheit stigs,True,4,4,19,2,1,0,0,0,0,62,25,2,1,158,13,7,30,12,False,False,False,False,True,False,8200,8400.0,5008,5008,5002,267,14,4,1625,DIAMOND,I,5.75,656.31,533.43,103.9,18.98,409.55,359.15,34.49,235.68,0.18,136.58,104.01,71.89,305.46,133.85,165.16,335.59,283.38,0.44,0.15,0.0,0.15,SUPPORT
Fatoríx,True,13,5,12,5,3,3,1,0,0,24,1,0,0,25,15,3,9,2,False,False,False,False,False,False,8100,8000.0,5005,5008,5002,145,7,4,1625,DIAMOND,I,5.0,5722.6,722.36,4714.97,285.27,1062.42,339.91,714.5,211.27,0.11,466.89,502.56,276.15,772.73,256.28,469.66,541.92,452.31,6.61,0.3,0.15,0.0,ADC
Kennnyy,True,4,8,6,0,1,0,0,0,0,38,26,0,0,111,15,4,11,3,False,False,False,False,False,True,8000,8200.0,5007,5008,5002,92,4,12,1625,DIAMOND,I,1.25,4443.99,6.42,4240.54,196.98,464.31,1.81,462.5,76.65,0.04,701.43,537.16,52.98,825.19,217.81,526.08,380.79,330.46,5.32,1.33,0.48,0.04,MIDDLE
Saint Ghoul,False,0,3,8,0,0,0,0,0,0,28,27,0,0,137,11,6,18,3,False,False,False,False,False,False,8400,8100.0,5005,5008,5002,432,14,4,1233,DIAMOND,I,2.67,864.82,598.44,229.49,36.84,333.09,235.52,60.68,125.35,0.24,298.73,5.16,5.16,540.97,184.33,336.3,239.76,240.15,1.12,0.0,0.0,0.0,SUPPORT
Muslim Salesman,False,5,7,3,2,2,1,0,0,0,9,6,0,0,50,10,0,6,1,False,False,False,False,False,False,8100,8000.0,5005,5008,5002,119,3,4,1233,DIAMOND,I,1.14,2575.13,38.49,2536.64,0.0,564.14,38.49,525.64,112.6,0.05,349.83,33.82,33.82,679.27,218.59,439.61,397.81,403.89,4.91,0.0,0.0,0.0,ADC
Paisano,False,0,9,4,0,0,0,0,0,0,6,24,0,0,341,11,0,6,0,False,False,False,False,False,False,8400,8300.0,5005,5002,5002,516,4,12,1233,DIAMOND,I,0.44,3095.04,1349.1,1624.48,121.41,434.36,266.37,167.98,24.72,0.05,1073.53,87.83,74.65,1052.85,215.52,797.47,305.69,272.51,5.64,0.0,0.0,0.0,TOP
BlueZi,False,4,6,0,0,1,0,0,0,0,13,13,0,0,155,10,3,4,0,False,False,False,False,False,False,8000,8100.0,5008,5008,5002,120,6,11,1233,DIAMOND,I,0.67,4487.93,520.68,3650.56,316.69,360.39,51.53,291.05,429.88,0.05,707.64,442.53,0.0,1166.91,322.92,799.76,350.85,345.5,1.12,3.7,3.02,0.0,JUNGLE
Nerfels,False,2,3,5,0,1,0,0,0,0,11,14,0,0,131,11,2,8,0,False,False,False,False,False,False,8200,8300.0,5008,5008,5003,147,3,4,1233,DIAMOND,I,2.33,3650.71,3311.97,338.69,0.0,451.68,413.24,38.44,46.03,0.24,178.83,19.71,19.71,387.3,59.03,300.68,351.92,347.2,7.01,0.0,0.0,0.0,MIDDLE
ivern irl,True,1,1,16,0,1,0,0,0,0,25,30,1,0,176,12,4,5,4,False,False,False,True,False,True,8200,8300.0,5007,5008,5002,427,4,11,1233,DIAMOND,I,17.0,14847.64,628.95,230.27,13988.37,348.81,232.51,90.17,128.76,0.15,227.25,411.87,120.88,351.58,133.97,213.53,406.08,364.96,0.49,5.64,3.5,0.97,JUNGLE
Fenrir Rat,True,7,2,1,4,2,1,0,0,0,14,4,2,0,77,12,3,3,3,False,False,False,False,False,False,8100,8200.0,5008,5008,5002,238,4,14,1233,DIAMOND,I,4.0,3853.48,415.33,3378.0,60.15,570.27,90.8,439.95,118.1,0.05,310.71,513.67,298.15,441.12,133.48,297.08,434.21,371.05,6.23,0.58,0.0,0.19,MIDDLE
TheOTPKaisa,True,8,3,10,3,1,0,0,0,0,26,16,4,0,104,12,2,7,2,True,False,True,False,False,True,8000,8100.0,5005,5008,5002,107,12,4,1233,DIAMOND,I,6.0,4494.01,726.28,3547.93,219.81,1154.99,200.68,943.6,603.21,0.05,853.67,343.02,297.81,1308.95,526.91,760.0,500.68,484.18,5.74,0.0,0.0,0.0,TOP
mexinesejewrican,True,3,2,16,3,1,0,0,0,0,40,27,0,0,275,11,5,18,4,False,False,False,False,False,True,8200,8300.0,5008,5008,5002,117,14,4,1233,DIAMOND,I,9.5,891.97,732.36,144.57,14.99,272.94,219.27,38.64,148.52,0.24,125.26,153.72,122.38,267.15,103.8,161.12,342.73,322.87,0.49,0.19,0.0,0.19,SUPPORT
Theifz,True,9,3,6,4,2,2,0,0,0,5,0,2,2,0,12,0,4,1,False,False,False,False,False,False,8100,8000.0,5005,5008,5002,145,7,4,1233,DIAMOND,I,5.0,4923.11,511.19,4229.49,182.34,721.12,176.84,482.53,210.41,0.15,256.4,759.08,393.24,492.6,115.91,360.78,499.9,464.72,7.1,0.0,0.0,0.0,ADC
ShepGG,False,1,5,6,0,1,0,0,0,0,90,17,0,0,186,13,5,39,14,False,False,False,False,False,False,8200,8300.0,5008,5002,5002,43,4,3,2264,DIAMOND,I,1.4,711.78,633.07,72.75,5.91,181.72,171.89,3.87,111.44,0.13,251.37,16.43,0.0,321.47,68.83,228.39,216.07,218.24,0.85,0.0,0.0,0.0,SUPPORT
dean fanatic,False,15,4,6,9,2,2,0,0,0,26,10,1,0,305,18,0,1,8,True,False,True,False,False,False,8000,8300.0,5005,5008,5002,107,11,4,2264,DIAMOND,I,5.25,7768.65,362.17,6810.87,595.57,880.57,30.11,805.31,293.48,0.03,445.79,645.53,40.12,799.58,217.82,543.39,508.33,469.88,1.59,5.78,3.95,0.66,JUNGLE
Lobozz,False,4,7,5,2,2,1,0,0,0,21,6,0,0,11,16,2,11,2,False,False,False,False,False,False,8100,8300.0,5008,5008,5003,7,14,4,2264,DIAMOND,I,1.29,4276.86,3358.07,590.22,328.54,456.92,378.68,31.01,45.74,0.03,279.43,98.0,21.89,532.79,135.45,379.66,349.9,341.87,5.72,0.16,0.16,0.0,MIDDLE
show màkèr,False,2,11,9,0,1,0,0,0,0,34,17,0,0,134,15,2,15,6,False,False,False,True,False,False,8000,8400.0,5005,5008,5002,164,4,14,2264,DIAMOND,I,1.0,3246.02,10.07,2597.25,638.67,248.61,10.07,166.96,113.24,0.03,866.93,84.59,11.37,965.62,154.98,766.19,306.86,293.72,4.03,0.53,0.45,0.0,TOP
Furyhorn,False,2,8,5,2,2,1,0,0,0,27,20,2,0,471,16,0,13,5,False,False,False,False,False,False,8000,8300.0,5005,5008,5002,81,4,7,2264,DIAMOND,I,0.88,5785.65,648.26,4610.78,526.62,600.27,163.7,366.89,129.67,0.05,604.96,252.59,84.57,595.73,100.39,446.16,353.83,343.2,6.28,0.85,0.66,0.0,ADC
Talenel,True,5,6,6,3,1,0,0,0,0,36,23,2,1,350,17,5,17,2,False,False,False,False,True,False,8000,8100.0,5007,5008,5003,69,14,4,2264,DIAMOND,I,1.83,3625.73,3265.84,309.96,49.9,285.61,248.32,11.55,215.51,0.03,366.52,568.14,40.26,651.25,179.05,445.68,349.29,341.48,5.17,0.74,0.42,0.03,MIDDLE
Gifting,True,8,7,12,3,1,0,0,0,0,43,11,1,0,276,17,9,14,3,False,False,False,False,False,False,8000,8100.0,5005,5008,5002,121,11,4,2264,DIAMOND,I,2.86,5511.97,328.46,4901.21,282.3,582.91,64.51,483.71,632.28,0.03,1052.86,784.66,29.47,1099.21,215.33,777.51,377.41,333.92,0.32,4.8,3.5,0.13,JUNGLE
GOUGE EM VALOR,True,8,6,5,5,1,0,0,0,0,38,31,2,0,187,18,3,14,5,False,False,False,False,False,True,8000,8200.0,5005,5008,5002,133,14,4,2264,DIAMOND,I,2.17,7413.92,131.82,6766.62,515.46,730.42,29.07,648.58,36.44,0.03,385.44,1010.57,206.1,676.75,124.72,527.28,439.8,408.79,6.63,0.77,0.19,0.19,TOP
nidiots,True,0,4,22,0,0,0,0,0,0,85,36,1,0,69,16,13,48,6,False,False,False,False,False,True,8400,8100.0,5008,5002,5003,89,14,4,2264,DIAMOND,I,5.5,717.67,222.96,288.26,206.42,222.22,119.05,57.03,62.09,0.03,847.21,118.73,59.76,475.97,137.92,269.42,277.16,263.03,0.95,0.03,0.0,0.0,SUPPORT
Seraphris,True,14,1,11,9,2,2,0,0,0,33,22,2,0,134,17,3,15,2,False,False,False,False,False,True,8000,8200.0,5008,5008,5002,202,7,4,2264,DIAMOND,I,25.0,7252.61,350.43,6875.83,26.32,639.49,73.3,553.6,174.17,0.13,326.18,571.11,165.69,411.6,192.4,194.63,508.99,478.49,6.97,0.5,0.24,0.0,ADC
Klarc,True,8,3,7,8,2,2,0,0,0,0,7,0,1,113,11,0,0,0,False,False,False,True,False,False,8100,8000.0,5005,5008,5002,21,4,7,1210,DIAMOND,I,5.0,2847.42,287.36,2560.07,0.0,862.12,87.32,774.74,142.17,0.15,326.08,175.98,175.98,530.28,194.53,335.7,414.2,357.02,4.02,0.0,0.0,0.0,ADC
osoyo,True,5,6,8,2,1,0,0,0,0,0,5,4,0,19,10,0,0,0,False,False,False,False,False,False,8000,8200.0,5005,5008,5001,39,4,7,1210,DIAMOND,I,2.17,1279.59,123.37,1156.17,0.0,343.98,44.68,299.26,82.07,0.15,247.59,215.16,207.77,526.36,170.73,355.64,322.76,216.94,0.69,0.05,0.0,0.0,SUPPORT
1Sterling1,True,23,1,6,23,3,5,1,0,0,9,21,0,0,33,14,0,5,0,False,False,False,False,False,False,8100,8200.0,5008,5008,5003,7,4,12,1210,DIAMOND,I,29.0,4873.98,3970.91,903.07,0.0,1574.68,1416.94,157.74,184.76,0.05,218.43,248.03,248.03,602.08,187.83,315.02,620.23,617.36,6.74,0.4,0.2,0.0,MIDDLE
Im bad at Yuumi,True,6,5,10,4,2,1,0,0,0,5,47,3,0,224,11,0,3,0,False,False,True,False,False,False,8100,8200.0,5007,5008,5002,40,3,14,1210,DIAMOND,I,3.2,2144.88,1711.39,382.21,51.22,645.82,475.24,119.31,140.73,0.3,221.7,237.27,237.27,478.81,78.2,301.44,424.31,371.9,1.29,0.0,0.0,0.0,SUPPORT
Awesomemdog,True,12,3,4,6,2,1,0,0,0,0,49,4,1,229,14,0,0,0,False,False,False,False,False,False,8200,8300.0,5005,5008,5003,90,12,4,1210,DIAMOND,I,5.33,4715.95,3873.57,842.33,0.0,1097.55,932.88,164.68,0.0,0.0,247.93,483.12,430.56,411.62,115.83,246.2,503.7,475.29,5.7,0.2,0.0,0.05,TOP
MissFortune,False,4,10,1,2,2,1,0,0,0,0,3,0,0,55,10,0,0,0,False,False,False,False,False,False,8000,8200.0,5005,5008,5001,21,0,0,1210,DIAMOND,I,0.5,1335.02,85.39,1249.64,0.0,242.18,29.21,212.93,13.98,0.05,279.82,0.0,0.0,925.09,453.72,449.16,335.36,296.28,2.88,0.0,0.0,0.0,BOTTOM
Warwick,False,5,12,4,2,1,0,0,0,0,0,5,0,0,173,11,0,0,0,False,False,False,False,False,False,8000,8200.0,5005,5008,5001,19,0,0,1210,DIAMOND,I,0.75,1107.72,300.05,807.67,0.0,372.1,222.0,150.05,201.12,0.05,441.72,0.0,0.0,1132.66,691.04,437.45,329.26,314.88,2.23,0.0,0.0,0.0,TOP
Ryze,False,0,13,4,0,0,0,0,0,0,0,1,0,0,11,11,0,0,0,False,False,False,False,False,False,8200,8100.0,5008,5008,5001,13,0,0,1210,DIAMOND,I,0.31,1021.14,619.88,401.21,0.0,241.49,166.12,75.37,0.0,0.0,277.24,0.0,0.0,983.75,669.27,314.43,202.86,168.6,2.08,0.0,0.0,0.0,MIDDLE
Taric,False,1,12,7,0,1,0,0,0,0,0,20,0,0,35,10,0,0,0,False,False,False,False,False,False,8400,8200.0,5008,5002,5001,44,0,0,1210,DIAMOND,I,0.67,614.53,258.64,247.09,108.69,252.55,168.94,83.55,134.93,0.25,663.42,0.0,0.0,1138.76,536.98,576.79,237.82,223.14,1.49,0.0,0.0,0.0,BOTTOM
Leona,False,4,7,2,0,1,0,0,0,0,0,21,0,0,30,9,0,0,0,False,False,False,False,False,False,8400,8200.0,5008,5002,5001,89,0,0,1210,DIAMOND,I,0.86,1182.25,788.73,319.83,73.59,304.96,160.91,144.05,19.09,0.05,641.9,0.0,0.0,930.3,606.0,324.25,301.24,275.21,1.88,0.0,0.0,0.0,TOP
HeeYa,False,13,5,5,7,2,1,0,0,0,27,10,2,0,183,16,2,9,3,False,False,True,False,False,False,8200,8300.0,5008,5008,5002,126,4,12,1847,DIAMOND,I,3.6,5334.61,547.57,4753.12,33.91,815.9,110.45,691.28,48.73,0.03,386.93,347.27,184.81,526.91,215.93,295.19,499.1,501.89,6.82,0.36,0.26,0.03,TOP
lai xialu,False,8,11,7,3,2,1,0,0,0,36,17,2,0,70,16,4,8,9,False,False,False,False,False,False,8000,8300.0,5008,5008,5002,39,14,4,1847,DIAMOND,I,1.36,5666.09,707.56,4520.43,438.03,737.15,186.98,519.83,147.68,0.03,940.38,228.96,96.97,1025.68,311.37,579.4,460.41,445.31,6.85,0.39,0.0,0.13,MIDDLE
ADC Saint,False,1,11,8,0,1,0,0,0,0,61,33,0,0,112,12,6,30,4,False,False,False,False,False,False,8400,8300.0,5007,5002,5001,53,4,14,1847,DIAMOND,I,0.82,694.99,250.53,211.93,232.5,296.98,186.82,82.9,13.94,0.03,784.65,67.76,0.0,745.37,294.06,417.89,237.3,227.4,1.07,0.0,0.0,0.0,BOTTOM
lai xiaIu,False,3,11,5,2,1,0,0,0,0,40,2,0,0,3,13,1,11,3,False,False,False,False,False,False,8000,8100.0,5005,5008,5002,360,7,4,1847,DIAMOND,I,0.73,2268.76,261.6,2007.16,0.0,175.29,29.37,145.89,142.35,0.06,319.2,143.68,24.82,628.33,255.66,359.51,315.59,289.93,4.81,0.26,0.0,0.0,JUNGLE
Lvl 1 Jot Bab ,False,5,7,3,2,1,0,0,0,0,26,2,0,0,111,14,1,11,2,False,False,False,False,False,False,8000,8100.0,5005,5008,5002,11,11,4,1847,DIAMOND,I,1.14,6305.72,170.16,4471.97,1663.53,316.4,0.0,212.87,464.8,0.03,502.25,1365.35,15.37,972.15,279.53,657.56,355.42,317.54,1.43,4.19,3.09,0.0,JUNGLE
Soloheal,True,8,10,5,3,2,1,0,0,0,18,20,0,0,27,13,0,10,1,False,False,False,False,False,False,8000,8200.0,5005,5008,5002,80,4,14,1847,DIAMOND,I,1.3,1930.72,106.65,1631.08,192.96,379.72,29.56,335.83,65.94,0.03,448.26,9.55,9.55,639.08,84.04,522.65,303.09,268.0,2.14,0.0,0.0,0.0,TOP
Father of Winter,True,11,7,19,4,2,3,0,0,0,74,35,1,0,184,15,7,34,7,False,False,False,False,False,False,8100,8300.0,5007,5008,5002,50,14,4,1847,DIAMOND,I,4.29,2431.71,2149.96,231.23,50.48,800.34,697.49,55.52,149.89,0.03,261.96,307.5,85.66,672.77,168.21,472.59,445.92,351.65,1.27,0.52,0.13,0.26,SUPPORT
Soulcake,True,7,6,7,2,1,0,0,0,0,24,18,3,0,138,17,3,13,2,True,False,False,False,False,False,8000,8100.0,5005,5008,5002,777,4,14,1847,DIAMOND,I,2.33,6443.06,908.15,5259.66,275.21,657.11,122.96,398.98,219.27,0.03,859.36,812.94,264.04,703.5,94.14,551.95,459.31,406.88,6.63,0.91,0.42,0.16,MIDDLE
Just Death,True,6,4,19,3,1,0,0,0,0,14,37,1,0,562,17,2,3,2,False,False,False,False,False,False,8400,8200.0,5005,5002,5002,33,11,4,1847,DIAMOND,I,6.25,5342.37,4082.83,1049.14,210.41,508.52,410.71,87.09,381.28,0.16,1707.09,318.97,21.31,924.69,191.66,685.44,420.1,345.97,1.01,5.07,3.83,0.32,JUNGLE
Nıto,True,13,3,10,6,2,1,0,0,0,16,19,2,0,86,17,0,10,1,False,False,False,False,False,False,8100,8200.0,5008,5008,5002,202,7,4,1847,DIAMOND,I,7.67,6134.68,110.12,5832.73,191.79,637.2,36.12,591.88,173.24,0.1,219.01,494.29,228.89,367.63,89.07,254.59,506.35,480.78,6.92,0.39,0.26,0.13,ADC
Empress Bee,True,4,1,15,4,2,1,0,0,0,60,16,0,0,134,13,11,31,9,False,False,False,False,False,True,8200,8300.0,5008,5008,5002,267,14,4,1594,DIAMOND,II,19.0,510.11,408.18,88.34,13.55,245.61,221.25,10.8,453.76,0.19,138.22,90.38,61.96,312.35,82.62,227.01,321.34,268.19,0.53,0.0,0.0,0.0,SUPPORT
Mixtsure,True,10,5,9,4,2,3,0,0,0,17,19,0,0,138,15,0,6,2,False,False,False,False,False,True,8000,8100.0,5005,5008,5002,777,4,14,1594,DIAMOND,II,3.8,5542.06,659.96,4720.43,161.59,844.33,184.78,527.39,315.62,0.04,579.97,219.82,91.09,826.07,119.36,619.61,463.81,444.17,6.74,0.98,0.53,0.45,MIDDLE
KingNoser,True,5,1,9,5,1,0,0,0,0,14,9,3,1,376,16,1,2,2,False,False,False,False,True,False,8100,8300.0,5005,5008,5002,245,4,11,1594,DIAMOND,II,14.0,7586.57,6085.78,1123.85,376.94,734.38,642.61,70.99,805.33,0.04,704.04,875.5,160.39,1363.59,322.85,952.92,423.84,392.41,1.51,6.29,4.22,0.3,JUNGLE
ben1,True,8,4,5,7,1,0,0,0,0,18,8,0,0,315,14,1,3,4,True,False,False,False,False,False,8100,8000.0,5005,5008,5002,29,7,4,1594,DIAMOND,II,3.25,3377.28,888.52,1788.11,700.61,655.52,204.88,277.53,211.96,0.15,246.1,244.97,39.49,679.42,276.81,351.3,389.36,351.0,5.76,0.08,0.08,0.0,ADC
themealio1,True,3,4,11,0,1,0,0,0,0,10,10,2,0,35,15,1,5,2,False,False,False,False,False,True,8000,8300.0,5008,5008,5002,62,12,4,1594,DIAMOND,II,3.5,3266.39,454.33,2647.19,164.87,566.95,97.15,469.76,136.45,0.04,543.27,270.79,112.28,828.48,249.86,519.97,354.84,332.18,6.1,0.19,0.19,0.0,TOP
Beard and Helmet,False,3,7,1,3,1,0,0,0,0,25,11,1,0,260,12,2,4,3,False,False,False,False,False,False,8000,8100.0,5008,5008,5001,141,11,4,1594,DIAMOND,II,0.57,4784.19,224.49,4238.77,320.89,414.05,0.0,398.54,563.98,0.04,666.66,676.68,12.42,1331.25,548.17,751.77,324.5,327.85,0.9,5.08,3.61,0.3,JUNGLE
TTV ARRRmandolol,False,6,4,3,4,2,1,0,0,0,24,2,0,0,47,15,1,3,6,False,False,False,False,False,False,8100,8200.0,5008,5008,5002,238,14,4,1594,DIAMOND,II,2.25,4545.85,241.17,3944.64,360.04,786.66,39.67,706.07,141.91,0.04,415.6,365.5,113.98,619.23,114.24,434.76,384.28,367.94,6.47,0.3,0.3,0.0,MIDDLE
BELLAKO,False,4,5,1,2,1,0,0,0,0,19,23,0,0,203,15,1,9,1,False,False,False,False,False,False,8400,8300.0,5005,5008,5002,106,12,4,1594,DIAMOND,II,1.0,4735.14,1974.73,2518.91,241.47,522.61,137.43,381.79,103.25,0.04,965.87,119.1,13.4,985.93,345.17,544.97,371.37,342.84,6.81,0.3,0.11,0.0,TOP
Goldfather8,False,1,7,2,0,1,0,0,0,0,49,20,0,0,178,10,6,24,3,False,False,False,True,False,False,8200,8000.0,5007,5008,5002,161,21,4,1594,DIAMOND,II,0.43,1586.69,1228.8,182.48,175.37,683.07,592.43,13.51,30.41,0.04,217.57,105.51,23.15,551.97,235.9,242.67,240.38,210.79,0.64,0.0,0.0,0.0,SUPPORT
P1atypus,False,1,7,1,0,1,0,0,0,0,11,0,2,0,0,11,1,3,3,False,False,False,False,False,False,8100,8000.0,5005,5008,5002,145,4,7,1594,DIAMOND,II,0.29,3259.42,277.9,2861.97,119.51,241.84,104.6,137.24,110.03,0.08,209.92,193.44,90.3,541.36,228.37,244.1,344.49,346.49,6.47,0.0,0.0,0.0,ADC
SparkleBrowniez,False,4,9,0,2,1,0,0,0,0,16,2,0,0,19,11,2,8,1,False,False,False,False,False,False,8000,8400.0,5005,5008,5002,82,4,12,1265,DIAMOND,II,0.44,2059.83,1519.59,421.85,118.34,465.72,378.83,86.89,113.45,0.05,836.54,0.0,0.0,898.58,188.44,597.39,289.85,284.58,4.46,0.0,0.0,0.0,TOP
Big Fan,False,6,7,3,2,1,0,0,0,0,8,13,0,0,306,12,0,6,0,False,False,False,False,False,False,8000,8300.0,5008,5008,5003,517,12,4,1265,DIAMOND,II,1.29,3669.3,3317.26,157.8,194.23,616.98,598.06,18.92,167.48,0.05,533.41,73.04,4.65,913.99,284.92,524.44,391.83,383.48,6.02,0.19,0.09,0.0,MIDDLE
yeff3,False,2,5,4,0,1,0,0,0,0,14,0,0,0,0,11,0,6,3,False,False,False,False,False,False,8000,8200.0,5005,5008,5002,15,4,7,1265,DIAMOND,II,1.2,3104.21,0.0,3104.21,0.0,425.64,0.0,425.64,55.3,0.14,205.19,14.47,14.47,598.53,181.28,368.92,307.78,273.91,5.74,0.0,0.0,0.0,ADC
T4D,False,0,6,5,0,0,0,0,0,0,31,13,0,0,114,9,3,13,4,False,False,False,False,False,False,8200,8300.0,5008,5008,5002,43,14,4,1265,DIAMOND,II,0.83,774.45,639.08,107.48,27.84,379.92,318.07,34.01,39.18,0.14,320.58,10.01,10.01,595.07,224.68,329.55,215.0,189.72,0.71,0.0,0.0,0.0,SUPPORT
R3ngar0nly,False,3,6,3,0,1,0,0,0,0,27,2,0,0,154,10,3,9,3,False,False,False,False,False,False,8100,8200.0,5008,5008,5002,141,11,4,1265,DIAMOND,II,1.0,4265.5,185.26,3786.64,293.6,188.77,3.27,174.74,390.02,0.05,432.14,356.82,3.65,945.77,196.27,681.01,302.85,289.33,0.66,4.08,2.99,0.38,JUNGLE
Blace2,True,3,5,8,2,1,0,0,0,0,22,8,1,0,67,13,1,6,3,False,False,False,True,False,True,8000,8200.0,5008,5008,5003,240,4,12,1265,DIAMOND,II,2.2,4323.56,0.0,4102.77,220.79,574.2,0.0,574.2,113.83,0.05,662.56,270.5,212.92,955.68,370.77,584.87,441.3,432.81,5.98,0.57,0.0,0.24,TOP
HappyBotLaneGuy,True,3,3,10,0,2,1,0,0,0,29,21,1,0,62,11,6,16,1,False,False,False,False,False,False,8400,8300.0,5008,5003,5002,53,14,4,1265,DIAMOND,II,4.33,991.83,159.51,364.13,468.14,231.04,116.82,90.36,6.88,0.05,453.25,194.51,89.83,480.52,226.53,238.96,314.04,308.3,1.04,0.19,0.0,0.0,MIDDLE
Broxah left hand,True,12,3,4,6,1,0,0,0,0,22,14,2,1,386,13,3,4,3,True,False,True,False,False,False,8000,8300.0,5005,5008,5002,2,11,4,1265,DIAMOND,II,5.33,6297.11,247.11,4918.1,1131.79,799.21,0.0,585.72,443.29,0.05,711.37,1536.33,18.07,968.73,421.75,540.76,537.72,455.34,1.09,5.26,2.7,1.14,JUNGLE
DłSDAłN,True,12,1,6,12,3,3,1,0,0,8,25,0,0,80,13,2,7,0,False,False,False,False,False,True,8100,8200.0,5005,5008,5003,142,14,4,1265,DIAMOND,II,18.0,4314.78,3424.36,585.77,304.65,1118.8,896.16,84.95,141.58,0.09,154.96,77.93,77.93,369.87,196.36,161.17,471.6,360.47,5.98,0.19,0.19,0.0,TOP
Satawa,True,3,3,5,0,1,0,0,0,0,16,8,4,0,21,11,2,7,1,False,False,False,False,False,True,8000,8200.0,5005,5008,5002,51,4,7,1265,DIAMOND,II,2.67,4293.96,17.31,4276.65,0.0,450.5,17.31,433.19,96.14,0.14,203.81,488.63,321.44,476.11,153.49,317.5,401.98,313.04,6.78,0.19,0.19,0.0,BOTTOM
Kiki Of power,True,9,7,6,3,2,1,0,0,0,18,26,4,1,166,17,0,9,2,False,False,True,False,True,False,8000,8100.0,5005,5003,5003,6,12,4,1724,DIAMOND,II,2.14,5948.84,0.0,5694.36,254.44,680.85,0.0,646.39,203.42,0.03,839.86,282.7,282.7,868.5,228.41,625.89,498.45,438.52,7.48,0.56,0.14,0.28,MIDDLE
