,win,kills,deaths,assists,largestKillingSpree,largestMultiKill,doubleKills,tripleKills,quadraKills,pentaKills,visionScore,timeCCingOthers,turretKills,inhibitorKills,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,champion,spell1,spell2,gameDuration,tier,division,kda,totalDamageDealt_per_min,magicDamageDealt_per_min,physicalDamageDealt_per_min,trueDamageDealt_per_min,totalDamageDealtToChampions_per_min,magicDamageDealtToChampions_per_min,physicalDamageDealtToChampions_per_min,totalHeal_per_min,totalUnitsHealed_per_min,damageSelfMitigated_per_min,damageDealtToObjectives_per_min,damageDealtToTurrets_per_min,totalDamageTaken_per_min,magicalDamageTaken_per_min,physicalDamageTaken_per_min,goldEarned_per_min,goldSpent_per_min,totalMinionsKilled_per_min,neutralMinionsKilled_per_min,neutralMinionsKilledTeamJungle_per_min,neutralMinionsKilledEnemyJungle_per_min,lane
161203,False,1,5,3,0,1,0,0,0,0,10,0,0,0,0,11,0,7,0,False,False,False,False,False,False,8100,8000.0,5005,5008,5002,145,7,4,1342,DIAMOND,III,0.8,3180.36,256.14,2718.15,206.02,345.34,108.29,202.27,142.53,0.13,274.25,0.0,0.0,657.45,293.2,297.45,313.32,302.91,7.06,0.13,0.13,0.0,ADC
Sicktrix,False,0,5,1,0,0,0,0,0,0,8,2,0,0,65,11,1,7,0,False,False,False,False,False,False,8000,8100.0,5005,5008,5003,157,12,4,1342,DIAMOND,III,0.2,3072.03,184.69,2503.99,383.38,83.65,13.68,69.93,17.48,0.04,329.02,301.3,18.02,559.94,229.05,277.78,253.23,233.61,5.45,0.0,0.0,0.0,TOP
LiveLuckyGaming,False,4,6,2,0,1,0,0,0,0,16,6,0,0,138,11,3,8,1,False,False,False,False,False,False,8000,8100.0,5005,5008,5002,203,11,4,1342,DIAMOND,III,1.0,3670.64,667.91,2788.44,214.25,425.5,76.77,317.57,398.0,0.49,315.07,109.76,0.0,802.09,286.9,494.4,340.24,314.08,0.85,3.76,2.37,0.85,JUNGLE
Dios Janna,False,0,4,5,0,0,0,0,0,0,32,21,0,0,120,9,1,17,1,False,False,False,False,False,False,8200,8100.0,5008,5002,5002,40,14,4,1342,DIAMOND,III,1.25,622.53,515.45,91.92,15.11,227.88,202.13,10.6,93.31,0.22,136.77,3.98,0.0,339.52,166.1,149.02,208.35,200.07,0.54,0.0,0.0,0.0,SUPPORT
JiPi,True,2,1,8,2,1,0,0,0,0,27,36,0,0,204,10,2,12,3,False,False,False,False,False,False,8200,8300.0,5008,5008,5002,57,4,14,1342,DIAMOND,III,10.0,1143.08,844.29,213.49,85.26,517.69,486.62,15.83,114.95,0.04,177.05,136.86,30.8,368.63,121.79,229.72,284.89,250.37,0.49,0.0,0.0,0.0,SUPPORT
r0binr0bber,True,7,3,3,3,1,0,0,0,0,26,13,2,0,261,12,2,2,4,False,False,False,False,False,True,8100,8200.0,5005,5008,5002,421,4,11,1342,DIAMOND,III,3.33,5095.26,322.8,3944.84,827.53,355.04,0.0,302.82,486.13,0.04,523.19,1138.57,80.66,912.74,134.04,743.96,400.24,350.97,0.98,5.1,3.31,0.4,JUNGLE
sHeNStar,True,8,1,2,4,1,0,0,0,0,18,10,2,1,370,13,1,8,1,False,False,False,False,False,False,8000,8100.0,5005,5008,5002,29,7,4,1342,DIAMOND,III,10.0,5388.51,0.0,3918.02,1470.45,511.48,0.0,390.85,171.51,0.13,194.35,267.76,190.33,446.96,110.7,326.78,468.11,321.91,6.48,1.07,0.4,0.36,ADC
wan ni ma bi ,True,7,0,6,7,1,0,0,0,0,13,22,1,0,195,14,0,5,3,False,False,True,False,False,False,8200,8300.0,5008,5008,5002,1,4,14,1342,DIAMOND,III,13.0,4412.86,4069.99,312.34,30.49,562.89,540.98,7.65,21.86,0.04,222.21,268.3,250.24,210.98,51.68,159.3,499.54,431.45,7.6,0.31,0.18,0.04,TOP
ClasicFeej,True,1,6,4,0,1,0,0,0,0,16,11,0,0,121,12,0,4,3,False,False,False,False,False,False,8100,8000.0,5008,5008,5002,105,14,4,1342,DIAMOND,III,0.83,2425.53,1557.85,687.0,180.63,364.16,246.3,90.98,94.87,0.04,313.5,43.01,43.01,639.34,121.12,464.4,322.22,266.02,4.83,0.18,0.0,0.0,MIDDLE
fed vlad,True,13,9,12,3,3,2,1,0,0,38,11,0,0,202,18,3,19,5,False,False,False,False,False,False,8200,8300.0,5007,5002,5002,8,12,4,2630,DIAMOND,III,2.78,7534.65,7196.1,225.08,113.48,1167.15,1122.25,11.93,794.92,0.02,693.03,243.03,144.21,996.94,466.9,482.85,461.5,400.04,6.91,0.14,0.14,0.0,TOP
Necicoa,True,5,14,32,2,1,0,0,0,0,106,28,2,0,78,17,16,60,21,False,False,False,False,False,False,8200,8000.0,5005,5002,5002,37,4,14,2630,DIAMOND,III,2.64,1338.98,974.99,308.51,55.46,678.71,473.13,150.09,731.27,0.11,543.22,125.59,60.14,756.14,399.76,329.91,304.15,307.53,0.98,0.0,0.0,0.0,SUPPORT
rax,True,21,14,16,4,3,5,1,0,0,14,7,2,1,41,18,3,10,6,False,False,False,False,False,False,8000,8100.0,5005,5008,5002,360,7,4,2630,DIAMOND,III,2.64,7836.02,939.01,6833.68,63.31,1384.11,178.33,1155.99,161.32,0.07,815.04,479.34,124.52,957.31,425.36,490.97,538.54,540.11,5.63,1.1,0.94,0.09,ADC
Nydix,True,6,17,25,3,2,1,0,0,0,47,43,0,0,381,18,16,32,7,False,False,False,False,False,False,8000,8300.0,5005,5008,5002,64,11,4,2630,DIAMOND,III,1.82,2985.15,599.27,2184.8,201.08,539.25,105.17,408.8,195.97,0.02,1458.37,432.39,0.0,1236.66,580.81,571.25,314.85,290.3,0.75,2.17,1.32,0.18,JUNGLE
Htag,True,8,10,5,3,2,1,0,0,0,26,44,1,0,474,18,4,16,4,False,False,False,False,False,False,8200,8300.0,5008,5008,5003,134,4,12,2630,DIAMOND,III,1.3,6738.75,6204.84,337.98,195.92,869.59,790.22,35.18,20.76,0.02,337.28,138.11,31.96,562.29,305.11,237.06,386.94,350.53,6.84,0.34,0.25,0.0,MIDDLE
Archillect,False,14,11,23,3,2,1,0,0,0,93,50,2,0,541,18,3,53,13,False,False,False,False,False,False,8100,8200.0,5008,5008,5002,54,14,4,2630,DIAMOND,III,3.36,2902.77,2164.65,544.77,193.32,1145.95,963.35,113.86,139.76,0.02,978.78,122.1,54.55,1061.18,605.0,438.66,392.3,366.16,1.67,0.37,0.09,0.27,SUPPORT
